#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%
104,Anthony Rendon,R,LAA,3B,3B,4/11,9,4.6,WSH,JGray(R),51,Lst7,3.9,3.4,0.8,0.46,0.16,0.48,0.03,0.44,0.66,0.246,0.338,0.451,0.789,100
105,Brice Turang,L,MIL,SS,SS,4/11,9,4.6,@ARI,MKelly(R),79,Lst7,3.9,3.5,0.9,0.43,0.07,0.38,0.14,0.34,0.75,0.259,0.324,0.377,0.701,99
106,Jake McCarthy,L,ARI,OF,OF,4/11,9,4.5,MIL,CBurnes(R),85,Lst7,3.7,3.4,0.8,0.35,0.07,0.36,0.24,0.24,0.92,0.231,0.292,0.378,0.670,100
107,Willie Calhoun,L,NYY,DH,DH,4/11,6,4.3,@CLE,HGaddis(R),25,Lst7,4.2,3.8,0.9,0.46,0.16,0.51,0.02,0.30,0.68,0.242,0.303,0.417,0.720,0
108,Jordan Luplow,R,TOR,OF,OF,4/11,7,4.3,DET,MManning(R),19,Lst7,3.7,3.2,0.7,0.47,0.17,0.46,0.07,0.34,0.80,0.219,0.300,0.434,0.734,0
109,Anthony Santander,S,BAL,OF,OF,4/11,6,4.1,OAK,KMuller(L),96,Lst7,3.9,3.6,0.9,0.43,0.17,0.53,0.01,0.28,0.80,0.239,0.301,0.433,0.734,100
110,Adley Rutschman,S,BAL,C,C,4/11,6,4.1,OAK,KMuller(L),90,Lst7,4.2,3.6,0.9,0.54,0.12,0.41,0.03,0.51,0.66,0.256,0.354,0.417,0.771,100
111,Robbie Grossman,S,TEX,OF,OF,4/11,8,3.9,KC,JLyles(R),76,Lst7,3.7,3.3,0.8,0.44,0.11,0.43,0.09,0.37,0.80,0.245,0.327,0.407,0.734,13
112,Jorge Mateo,R,BAL,SS,SS,4/11,6,3.9,OAK,KMuller(L),96,Lst7,3.5,3.2,0.7,0.35,0.08,0.35,0.23,0.19,0.83,0.228,0.276,0.371,0.647,100
113,Yandy Diaz,R,TB,3B,1B/3B,4/11,6,3.8,BOS,GWhitlock(R),79,Lst7,4.2,3.7,1.0,0.55,0.09,0.35,0.04,0.44,0.57,0.270,0.355,0.401,0.756,100
114,Ezequiel Duran,R,TEX,3B,2B/3B,4/11,8,3.8,KC,JLyles(R),42,Lst7,3.3,3.1,0.8,0.43,0.11,0.39,0.10,0.15,0.66,0.253,0.292,0.422,0.714,0
115,Eric Hosmer,L,CHC,1B,1B,4/11,7,3.7,SEA,CFlexen(R),79,Lst7,3.7,3.4,0.9,0.45,0.11,0.45,0.01,0.26,0.53,0.272,0.326,0.434,0.760,0
116,Austin Hays,R,BAL,OF,OF,4/11,6,3.3,OAK,KMuller(L),96,Lst7,3.8,3.5,0.9,0.41,0.14,0.49,0.03,0.24,0.65,0.249,0.302,0.433,0.735,96
117,Jonah Heim,S,TEX,C,C,4/11,8,3.1,KC,JLyles(R),73,Lst7,3.6,3.3,0.8,0.44,0.14,0.45,0.03,0.24,0.59,0.249,0.302,0.438,0.740,99
118,Brandon Belt,L,TOR,1B,1B,4/11,7,3.0,DET,MManning(R),54,Lst7,3.7,3.2,0.8,0.47,0.16,0.47,0.02,0.39,0.89,0.231,0.318,0.443,0.761,23
119,J.T. Realmuto,R,PHI,C,C,4/11,6,3.0,MIA,JLuzardo(L),79,Lst7,4.0,3.6,0.9,0.43,0.15,0.46,0.06,0.31,1.02,0.236,0.307,0.410,0.717,100
120,Carlos Correa,R,MIN,SS,SS,4/11,7,3.0,CHW,LLynn(R),55,Lst7,4.1,3.7,0.9,0.50,0.14,0.43,0.01,0.30,0.81,0.251,0.312,0.429,0.741,100
121,Josh Rojas,L,ARI,2B/3B,2B/3B,4/11,9,3.0,MIL,CBurnes(R),85,Lst7,4.3,3.8,0.9,0.48,0.07,0.31,0.20,0.37,1.01,0.228,0.298,0.352,0.650,97
122,Nelson Velazquez,R,CHC,OF,OF,4/11,7,2.9,SEA,CFlexen(R),19,Lst7,3.6,3.3,0.8,0.45,0.14,0.45,0.06,0.22,0.99,0.231,0.283,0.421,0.704,0
123,Brandon Drury,R,LAA,1B/2B/ 3B,1B/2B/ 3B,4/11,9,2.8,WSH,JGray(R),74,Lst7,3.7,3.4,0.8,0.42,0.18,0.45,0.03,0.24,0.79,0.237,0.294,0.451,0.745,95
124,Thairo Estrada,R,SF,2B/SS,2B/SS/ OF,4/11,9,2.8,LAD,DMay(R),91,Lst7,3.7,3.3,0.8,0.32,0.06,0.34,0.25,0.22,0.71,0.233,0.296,0.340,0.636,100
125,Sean Murphy,R,ATL,C,C,4/11,7,2.8,CIN,LCessa(R),74,Lst7,3.9,3.5,0.9,0.46,0.12,0.51,0.01,0.36,0.67,0.251,0.331,0.416,0.747,100
126,Will Smith,R,LAD,C,C,4/11,9,2.8,@SF,AWood(L),75,Lst7,4.4,3.9,1.0,0.48,0.12,0.51,0.01,0.37,0.73,0.251,0.328,0.405,0.733,100
127,Tommy Pham,R,NYM,OF,OF,4/11,7,2.7,SD,RWeathers(L),96,Lst7,4.0,3.5,0.8,0.52,0.13,0.43,0.05,0.41,0.90,0.231,0.313,0.395,0.708,6
128,Chas McCormick,R,HOU,OF,OF,4/11,6,2.6,@PIT,MKeller(R),66,Lst7,4.6,4.0,0.9,0.56,0.09,0.39,0.13,0.44,1.17,0.223,0.305,0.339,0.644,74
129,Mark Canha,R,NYM,OF,OF,4/11,7,2.3,SD,RWeathers(L),96,Lst7,3.9,3.3,0.8,0.47,0.13,0.49,0.02,0.39,0.66,0.239,0.335,0.414,0.749,39
130,Anthony Volpe,R,NYY,SS,SS,4/11,6,2.3,@CLE,HGaddis(R),96,Lst7,3.8,3.3,0.7,0.42,0.10,0.36,0.18,0.29,0.90,0.216,0.288,0.367,0.655,100
131,Tommy La Stella,L,SEA,DH,DH,4/11,7,2.2,@CHC,HWesneski(R),39,Lst7,4.0,3.7,1.0,0.47,0.10,0.43,0.02,0.25,0.53,0.266,0.318,0.408,0.726,0
132,Akil Baddoo,L,DET,OF,OF,4/11,7,2.2,@TOR,AManoah(R),69,Lst7,4.5,4.0,0.9,0.51,0.12,0.35,0.13,0.36,1.14,0.221,0.289,0.377,0.666,14
133,J.P. Crawford,L,SEA,SS,SS,4/11,7,2.1,@CHC,HWesneski(R),97,Lst7,3.8,3.4,0.9,0.49,0.06,0.38,0.04,0.32,0.52,0.276,0.344,0.408,0.752,4
134,Logan O’Hoppe,R,LAA,C,C,4/11,9,2.1,WSH,JGray(R),78,Lst7,3.4,3.0,0.7,0.44,0.16,0.40,0.04,0.33,0.68,0.236,0.321,0.448,0.769,100
135,Francisco Alvarez,R,NYM,DH,C,4/11,7,2.1,SD,RWeathers(L),50,Lst7,3.5,3.1,0.7,0.48,0.17,0.48,0.01,0.41,0.88,0.220,0.317,0.439,0.756,84
136,Tom Murphy,R,SEA,C,C,4/11,7,2.0,@CHC,HWesneski(R),33,Lst7,3.9,3.6,0.8,0.49,0.15,0.47,0.02,0.28,1.13,0.228,0.292,0.407,0.699,0
137,Franchy Cordero,L,NYY,1B/OF,1B/OF,4/11,6,2.0,@CLE,HGaddis(R),49,Lst7,3.9,3.5,0.8,0.45,0.16,0.44,0.06,0.32,1.29,0.222,0.290,0.415,0.705,6
138,Edwin Rios,L,CHC,DH,DH,4/11,7,2.0,SEA,CFlexen(R),44,Lst7,3.8,3.4,0.8,0.46,0.16,0.49,0.02,0.25,1.04,0.227,0.285,0.433,0.718,0
139,Esteury Ruiz,R,OAK,OF,OF,4/11,6,1.9,@BAL,GRodriguez(R),96,Lst7,3.6,3.2,0.7,0.34,0.07,0.29,0.26,0.26,0.86,0.221,0.295,0.336,0.631,99
140,Bryan Reynolds,S,PIT,OF,OF,4/11,6,1.9,HOU,CJavier(R),96,Lst7,4.1,3.6,0.8,0.49,0.15,0.43,0.06,0.40,1.02,0.223,0.309,0.418,0.727,100
141,Joey Wiemer,R,MIL,OF,OF,4/11,9,1.8,@ARI,MKelly(R),74,Lst7,3.8,3.5,0.8,0.42,0.10,0.39,0.13,0.27,1.02,0.233,0.290,0.374,0.664,95
142,Bobby Witt Jr.,R,KC,SS/3B,SS/3B,4/11,8,1.7,@TEX,JdeGrom(R),91,Lst7,4.2,4.0,0.8,0.34,0.15,0.29,0.25,0.17,1.30,0.205,0.243,0.367,0.610,100
143,Luis Rengifo,S,LAA,2B/3B,2B/SS/ 3B,4/11,9,1.5,WSH,JGray(R),87,Lst7,3.5,3.2,0.7,0.41,0.15,0.40,0.07,0.23,0.61,0.235,0.291,0.433,0.724,66
144,Nick Castellanos,R,PHI,OF,OF,4/11,6,1.4,MIA,JLuzardo(L),96,Lst7,3.9,3.6,0.9,0.40,0.14,0.49,0.02,0.26,0.94,0.246,0.303,0.419,0.722,100
145,Marcell Ozuna,R,ATL,OF,OF,4/11,7,1.2,CIN,LCessa(R),76,Lst7,3.6,3.3,0.8,0.44,0.13,0.44,0.02,0.29,0.69,0.249,0.311,0.416,0.727,74
146,Corbin Carroll,L,ARI,OF,OF,4/11,9,1.1,MIL,CBurnes(R),97,Lst7,3.8,3.4,0.7,0.36,0.10,0.42,0.18,0.29,1.17,0.211,0.282,0.379,0.661,100
147,Jorge Soler,R,MIA,OF,OF,4/11,6,1.0,@PHI,ANola(R),88,Lst7,4.3,3.9,0.8,0.46,0.20,0.48,0.01,0.30,1.37,0.213,0.276,0.412,0.688,100
148,Corey Julks,R,HOU,OF,OF,4/11,6,1.0,@PIT,MKeller(R),56,Lst7,4.1,3.7,0.9,0.42,0.08,0.41,0.13,0.28,0.98,0.234,0.295,0.360,0.655,1
149,Gavin Sheets,L,CHW,OF,1B/OF,4/11,7,0.9,@MIN,PLopez(R),76,Lst7,4.1,3.8,0.9,0.42,0.14,0.48,0.01,0.26,0.99,0.245,0.299,0.407,0.706,3
150,Jonathan India,R,CIN,2B,2B,4/11,7,0.6,@ATL,KWright(R),96,Lst7,4.6,4.1,1.0,0.55,0.08,0.37,0.05,0.33,0.96,0.249,0.325,0.366,0.691,100
151,Jake Lamb,L,LAA,DH,OF,4/11,9,0.4,WSH,JGray(R),71,Lst7,3.8,3.3,0.7,0.43,0.19,0.45,0.02,0.40,1.05,0.215,0.305,0.434,0.739,0
152,Cooper Hummel,S,SEA,OF,C/OF,4/11,7,0.4,@CHC,HWesneski(R),26,Lst7,3.9,3.4,0.8,0.48,0.11,0.42,0.08,0.43,1.08,0.221,0.314,0.385,0.699,0
153,Andrew Vaughn,R,CHW,1B/OF,1B/OF,4/11,7,0.3,@MIN,PLopez(R),91,Lst7,4.2,3.9,1.0,0.44,0.12,0.48,0.01,0.25,0.89,0.249,0.305,0.401,0.706,100
154,Yan Gomes,R,CHC,C,C,4/11,7,0.2,SEA,CFlexen(R),50,Lst7,3.6,3.3,0.8,0.43,0.13,0.44,0.01,0.13,0.58,0.249,0.284,0.412,0.696,11
155,Josh H. Smith,L,TEX,3B/OF,3B/OF,4/11,8,0.2,KC,JLyles(R),62,Lst7,3.5,3.1,0.8,0.42,0.07,0.35,0.09,0.31,0.63,0.259,0.336,0.392,0.728,0
156,J.D. Martinez,R,LAD,DH,DH,4/11,9,0.1,@SF,AWood(L),96,Lst7,4.4,4.1,1.0,0.45,0.09,0.49,0.00,0.29,1.09,0.254,0.308,0.390,0.698,100
157,Kyle Higashioka,R,NYY,C,C,4/11,6,-0.1,@CLE,HGaddis(R),37,Lst7,3.9,3.6,0.8,0.44,0.18,0.47,0.02,0.19,0.97,0.212,0.256,0.413,0.669,0
158,Travis Jankowski,L,TEX,DH,OF,4/11,8,-0.1,KC,JLyles(R),26,Lst7,3.4,2.9,0.7,0.41,0.04,0.29,0.17,0.37,0.61,0.252,0.338,0.350,0.688,0
159,Miguel Vargas,R,LAD,1B,1B,4/11,9,-0.1,@SF,AWood(L),96,Lst7,4.2,3.7,1.0,0.41,0.07,0.46,0.04,0.35,0.73,0.263,0.333,0.390,0.723,100
160,Josh Naylor,L,CLE,1B,1B/OF,4/11,6,-0.2,NYY,GCole(R),85,Lst7,3.9,3.6,0.8,0.39,0.15,0.48,0.04,0.25,0.84,0.228,0.284,0.415,0.699,100
161,Eddie Rosario,L,ATL,OF,OF,4/11,7,-0.4,CIN,LCessa(R),64,Lst7,3.7,3.5,0.8,0.40,0.11,0.43,0.05,0.21,0.62,0.243,0.288,0.390,0.678,2
162,Eduardo Escobar,S,NYM,3B,3B,4/11,7,-0.5,SD,RWeathers(L),96,Lst7,3.6,3.3,0.8,0.44,0.15,0.46,0.01,0.23,0.69,0.233,0.283,0.422,0.705,2
163,Brett Phillips,L,LAA,OF,OF,4/11,9,-0.5,WSH,JGray(R),24,Lst7,3.5,3.0,0.6,0.41,0.17,0.37,0.13,0.39,1.20,0.184,0.282,0.396,0.678,0
164,TJ Friedl,L,CIN,OF,OF,4/11,7,-0.6,@ATL,KWright(R),97,Lst7,4.5,4.0,1.0,0.49,0.08,0.40,0.06,0.33,0.88,0.240,0.308,0.360,0.668,100
165,Oscar Colas,L,CHW,OF,OF,4/11,7,-0.6,@MIN,PLopez(R),85,Lst7,3.9,3.6,0.9,0.41,0.12,0.42,0.03,0.18,1.06,0.249,0.291,0.403,0.694,99
